Labeling all files in:  /Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/
Filename,hRel,hProp,Total
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/1117479cfa864e6607dcf7f143a808ba.cmp.txt , 14 , 6 , 20 , 1079
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/1226499305419e318a5dc104ab8066c5.cmp.txt , 13 , 7 , 20 , 1504
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/1b7885b9a6142dcaecf9e0e9613d6952.cmp.txt , 5 , 4 , 9 , 967
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/2304550f3162898f67ac68c08b390780.cmp.txt , 9 , 12 , 21 , 1563
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/289a43fb49b37dbe63398decde9625be.cmp.txt , 12 , 12 , 24 , 982
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/295f9c1a5b9bd20e6e20547ffe0db294.cmp.txt , 0 , 2 , 2 , 322
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/29838866bc6ab760d9a7dda4c9c77503.cmp.txt , 8 , 9 , 17 , 1287
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/3135e76164dd737557d83178339e54e7.cmp.txt , 10 , 7 , 17 , 889
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/3cde74ca728f84882b404c78fb9d50bb.cmp.txt , 2 , 0 , 2 , 901
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/3eeaac8978fc543ffcaa6ac0a1d9a5ed.cmp.txt , 3 , 19 , 22 , 1084
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/40be1d303aef5e921f8c35d93f753abc.cmp.txt , 10 , 9 , 19 , 1000
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/4592b44df692ae3b8a4f22372d04fa62.cmp.txt , 17 , 12 , 29 , 890
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/4ba25020962498950ff85a88c30648fb.cmp.txt , 5 , 4 , 9 , 963
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/5eac974a46f903198596aa69a1ad317d.cmp.txt , 3 , 3 , 6 , 899
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/6a022c5cd583f4b9890141ca749997fb.cmp.txt , 6 , 14 , 20 , 1346
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/735dbf2a938d7bf8d6ff3491bdbe0715.cmp.txt , 7 , 9 , 16 , 1235
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/7984eb82f19ef829045f9876f74f30dc.cmp.txt , 8 , 2 , 10 , 962
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/9476d05ff8d63dc664ca6035f87a0ced.cmp.txt , 10 , 13 , 23 , 1792
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/9b0b7d0b89b7fc118363762e1af5ace4.cmp.txt , 4 , 8 , 12 , 1450
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/b0a0c2687af1cb1b966f73d232d8367a.cmp.txt , 8 , 10 , 18 , 984
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/c60e6b87d095f1dfe39bd2ddd24f9f9a.cmp.txt , 6 , 14 , 20 , 1496
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/c8416f15a6cec37e56de13eb82b7b510.cmp.txt , 2 , 4 , 6 , 978
/Users/aproko/Desktop/Spanish_Data/spanish/LDC2015E107_DEFT_Rich_ERE_Spanish_Annotation_V1/data/source/c93832992e8ca0020c806137834bdd38.cmp.txt , 14 , 16 , 30 , 1101
